"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"13483","8.810055","10.1.0.11","10.1.0.10","WebSocket","1152","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13505","8.811790","10.1.0.10","10.1.0.11","WebSocket","6376","","","WebSocket Continuation[FRAGMENT]  "
"13507","8.817576","10.1.0.11","10.1.0.10","TCP","1154","-42 dBm","","doceri-ctl(7019)  >  49153 [ACK] Seq=1 Ack=1365501 Win=131072 Len=0 TSval=8829 TSecr=8544"
"13527","8.818885","10.1.0.10","10.1.0.11","TCP","2048","","","fisa-svc(7018)  >  49162 [ACK] Seq=1 Ack=3406001 Win=131072 Len=0 TSval=8822 TSecr=8743"
"13529","8.826747","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13530","8.826747","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13531","8.826747","10.1.0.11","10.1.0.10","WebSocket","1152","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13552","8.828199","10.1.0.10","10.1.0.11","WebSocket","6376","","","WebSocket Continuation[FRAGMENT]  "
"13554","8.837711","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13555","8.837711","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13556","8.837711","10.1.0.11","10.1.0.10","WebSocket","1152","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13573","8.838994","10.1.0.10","10.1.0.11","TCP","1060","","","fisa-svc(7018)  >  49162 [ACK] Seq=1 Ack=3432001 Win=131072 Len=0 TSval=8850 TSecr=8764"
"13596","8.855587","10.1.0.11","10.1.0.10","TCP","242","-42 dBm","","doceri-ctl(7019)  >  49153 [ACK] Seq=1 Ack=1371501 Win=131072 Len=0 TSval=8845 TSecr=8654"
